club,Squad,ø age,Foreigners,Total MV,ø MV
Man City,46,23.3,33,€1.05bn,€22.92m
Chelsea,54,24.6,40,€1.05bn,€19.38m
Liverpool,39,23.8,25,€900.10m,€23.08m
Man Utd,36,24.4,22,€833.00m,€23.14m
Spurs,34,24.5,20,€819.60m,€24.11m
Arsenal,42,23.9,28,€593.30m,€14.13m
Everton,40,25.0,25,€429.50m,€10.74m
Leicester,37,25.4,26,€329.00m,€8.89m
West Ham,37,25.7,22,€309.70m,€8.37m
Southampton,40,23.9,18,€270.55m,€6.76m
Crystal Palace,36,25.4,20,€262.38m,€7.29m
Fulham,33,24.7,25,€239.50m,€7.26m
Newcastle,37,25.0,22,€200.00m,€5.41m
Burnley,33,27.1,14,€185.75m,€5.63m
Bournemouth,37,24.7,16,€172.80m,€4.67m
Brighton,41,24.8,29,€172.65m,€4.21m
Watford,39,25.2,31,€170.40m,€4.37m
Wolves,40,23.1,26,€160.43m,€4.01m
Huddersfield,33,24.3,21,€113.15m,€3.43m
Cardiff,35,26.3,32,€76.00m,€2.17m
