club,squad_size,avg_age,num_foreigners,market_value,av_market_value
Chelsea,27,24.5,19,352.18e6,13.04e6
Manchester United,29,24.9,20,286.43e6,9.88e6
Arsenal,33,23.3,28,217.95e6,6.60e6
Liverpool,32,23.9,23,187.40e6,5.86e6
Tottenham Hotspur,30,24.5,15,145.50e6,4.85e6
Newcastle United,25,25.6,13,141.20e6,5.65e6
Everton,29,26.3,19,109.78e6,3.79e6
Aston Villa,29,24.0,16,100.83e6,3.48e6
Birmingham City,33,25.5,18,95.38e6,2.89e6
Middlesbrough FC,35,23.6,14,94.63e6,2.70e6
Portsmouth FC,36,26.0,29,90.83e6,2.52e6
Manchester City,31,24.9,16,76.40e6,2.46e6
Charlton Athletic,36,25.0,21,74.98e6,2.08e6
Fulham FC,31,26.6,24,70.90e6,2.29e6
Blackburn Rovers,27,26.7,21,70.70e6,2.62e6
Bolton Wanderers,28,26.0,21,65.90e6,2.35e6
West Bromwich Albion,31,25.3,14,55.05e6,1.78e6
West Ham United,26,25.3,11,42.40e6,1.63e6
Wigan Athletic,28,27.4,18,36.20e6,1.29e6
Sunderland AFC Bournemoth,28,23.4,18,32.55e6,1.16e6
