season,week_day,year,month,day,home,visitor,home_current_points,visitor_current_points,home_last_table_position,visitor_last_table_position,home_penultimate_table_position,visitor_penultimate_table_position,home_value,visitor_value,result
2020,9,2020,11,21,2,9,,,17,15,21,17,323500000.0,252450000.0,
2020,9,2020,11,21,46,26,,,6,2,4,1,737150000.0,1060000000.0,
2020,9,2020,11,21,27,48,,,3,21,6,21,765350000.0,118150000.0,
2020,9,2020,11,22,18,17,,,21,12,19,8,216300000.0,507300000.0,
2020,9,2020,11,22,39,49,,,10,16,21,9,172300000.0,262850000.0,
2020,9,2020,11,22,22,1,,,21,8,21,5,195530000.0,556700000.0,
2020,9,2020,11,22,24,23,,,1,5,2,10,1110000000.0,480500000.0,
2020,9,2020,11,23,10,15,,,9,14,15,12,152080000.0,207980000.0,
2020,9,2020,11,23,52,41,,,7,11,7,16,422600000.0,240500000.0,
2020,10,2020,11,27,15,30,,,14,13,12,14,207980000.0,268050000.0,
2020,10,2020,11,28,9,24,,,15,1,17,2,252450000.0,1110000000.0,
2020,10,2020,11,28,26,10,,,2,9,1,15,1060000000.0,152080000.0,
2020,10,2020,11,28,17,22,,,12,21,8,21,507300000.0,195530000.0,
2020,10,2020,11,28,48,39,,,21,10,21,21,118150000.0,172300000.0,
2020,10,2020,11,29,41,27,,,11,3,16,6,240500000.0,765350000.0,
2020,10,2020,11,29,13,46,,,4,6,3,4,823050000.0,737150000.0,
2020,10,2020,11,29,1,52,,,8,7,5,7,556700000.0,422600000.0,
2020,10,2020,11,30,23,18,,,5,21,10,19,480500000.0,216300000.0,
2020,10,2020,11,30,49,2,,,16,17,9,21,262850000.0,323500000.0,
2020,11,2020,12,5,10,17,,,9,12,15,8,152080000.0,507300000.0,
2020,11,2020,12,5,26,18,,,2,21,1,19,1060000000.0,216300000.0,
2020,11,2020,12,5,49,27,,,16,3,9,6,262850000.0,765350000.0,
2020,11,2020,12,5,13,22,,,4,21,3,21,823050000.0,195530000.0,
2020,11,2020,12,6,48,15,,,21,14,21,12,118150000.0,207980000.0,
2020,11,2020,12,6,39,23,,,10,5,21,10,172300000.0,480500000.0,
2020,11,2020,12,6,46,1,,,6,8,4,5,737150000.0,556700000.0,
2020,11,2020,12,6,24,52,,,1,7,2,7,1110000000.0,422600000.0,
2020,11,2020,12,7,9,41,,,15,11,17,16,252450000.0,240500000.0,
2020,12,2020,12,11,22,49,,,21,16,21,9,195530000.0,262850000.0,
2020,12,2020,12,12,52,2,,,7,17,7,21,422600000.0,323500000.0,
2020,12,2020,12,12,30,48,,,13,21,14,21,268050000.0,118150000.0,
2020,12,2020,12,12,27,26,,,3,2,6,1,765350000.0,1060000000.0,
2020,12,2020,12,12,17,13,,,12,4,8,3,507300000.0,823050000.0,
2020,12,2020,12,13,41,39,,,11,10,16,21,240500000.0,172300000.0,
2020,12,2020,12,13,15,46,,,14,6,12,4,207980000.0,737150000.0,
2020,12,2020,12,13,18,24,,,21,1,19,2,216300000.0,1110000000.0,
2020,12,2020,12,13,1,10,,,8,9,5,15,556700000.0,152080000.0,
2020,12,2020,12,13,23,9,,,5,15,10,17,480500000.0,252450000.0,
2020,13,2020,12,15,52,13,,,7,4,7,3,422600000.0,823050000.0,
2020,13,2020,12,15,26,48,,,2,21,1,21,1060000000.0,118150000.0,
2020,13,2020,12,16,1,41,,,8,11,5,16,556700000.0,240500000.0,
2020,13,2020,12,16,22,30,,,21,13,21,14,195530000.0,268050000.0,
2020,13,2020,12,16,23,17,,,5,12,10,8,480500000.0,507300000.0,
2020,13,2020,12,16,18,9,,,21,15,19,17,216300000.0,252450000.0,
2020,13,2020,12,16,49,15,,,16,14,9,12,262850000.0,207980000.0,
2020,13,2020,12,16,24,46,,,1,6,2,4,1110000000.0,737150000.0,
2020,13,2020,12,17,2,10,,,17,9,21,15,323500000.0,152080000.0,
2020,13,2020,12,17,39,27,,,10,3,21,6,172300000.0,765350000.0,
2020,14,2020,12,19,15,24,,,14,1,12,2,207980000.0,1110000000.0,
2020,14,2020,12,19,41,26,,,11,2,16,1,240500000.0,1060000000.0,
2020,14,2020,12,19,17,1,,,12,8,8,5,507300000.0,556700000.0,
2020,14,2020,12,19,30,18,,,13,21,14,19,268050000.0,216300000.0,
2020,14,2020,12,20,9,39,,,15,10,17,21,252450000.0,172300000.0,
2020,14,2020,12,20,46,23,,,6,5,4,10,737150000.0,480500000.0,
2020,14,2020,12,20,27,22,,,3,21,6,21,765350000.0,195530000.0,
2020,14,2020,12,20,48,2,,,21,17,21,21,118150000.0,323500000.0,
2020,14,2020,12,21,10,52,,,9,7,15,7,152080000.0,422600000.0,
2020,14,2020,12,21,13,49,,,4,16,3,9,823050000.0,262850000.0,
2020,15,2020,12,26,23,27,,,5,3,10,6,480500000.0,765350000.0,
2020,15,2020,12,26,2,15,,,17,14,21,12,323500000.0,207980000.0,
2020,15,2020,12,26,18,41,,,21,11,19,16,216300000.0,240500000.0,
2020,15,2020,12,26,1,13,,,8,4,5,3,556700000.0,823050000.0,
2020,15,2020,12,26,26,30,,,2,13,1,14,1060000000.0,268050000.0,
2020,15,2020,12,26,39,17,,,10,12,21,8,172300000.0,507300000.0,
2020,15,2020,12,27,22,10,,,21,9,21,15,195530000.0,152080000.0,
2020,15,2020,12,27,49,9,,,16,15,9,17,262850000.0,252450000.0,
2020,15,2020,12,27,24,48,,,1,21,2,21,1110000000.0,118150000.0,
2020,15,2020,12,27,52,46,,,7,6,7,4,422600000.0,737150000.0,
2020,16,2020,12,28,15,23,,,14,5,12,10,207980000.0,480500000.0,
2020,16,2020,12,28,13,2,,,4,17,3,21,823050000.0,323500000.0,
2020,16,2020,12,28,17,26,,,12,2,8,1,507300000.0,1060000000.0,
2020,16,2020,12,29,9,1,,,15,8,17,5,252450000.0,556700000.0,
2020,16,2020,12,29,10,39,,,9,10,15,21,152080000.0,172300000.0,
2020,16,2020,12,29,41,49,,,11,16,16,9,240500000.0,262850000.0,
2020,16,2020,12,29,48,22,,,21,21,21,21,118150000.0,195530000.0,
2020,16,2020,12,29,27,52,,,3,7,6,7,765350000.0,422600000.0,
2020,16,2020,12,30,30,24,,,13,1,14,2,268050000.0,1110000000.0,
2020,17,2021,1,1,17,49,,,12,16,8,9,507300000.0,262850000.0,
2020,17,2021,1,1,27,2,,,3,17,6,21,765350000.0,323500000.0,
2020,17,2021,1,2,46,22,,,6,21,4,21,737150000.0,195530000.0,
2020,17,2021,1,2,15,39,,,14,10,12,21,207980000.0,172300000.0,
2020,17,2021,1,2,9,52,,,15,7,17,7,252450000.0,422600000.0,
2020,17,2021,1,2,48,1,,,21,8,21,5,118150000.0,556700000.0,
2020,17,2021,1,3,10,18,,,9,21,15,19,152080000.0,216300000.0,
2020,17,2021,1,3,30,23,,,13,5,14,10,268050000.0,480500000.0,
2020,17,2021,1,3,13,26,,,4,2,3,1,823050000.0,1060000000.0,
2020,17,2021,1,4,41,24,,,11,1,16,2,240500000.0,1110000000.0,
2020,18,2021,1,12,39,30,,,10,13,21,14,172300000.0,268050000.0,
2020,18,2021,1,12,10,27,,,9,3,15,6,152080000.0,765350000.0,
2020,18,2021,1,12,52,17,,,7,12,7,8,422600000.0,507300000.0,
2020,18,2021,1,13,26,9,,,2,15,1,17,1060000000.0,252450000.0,
2020,18,2021,1,13,46,18,,,6,21,4,19,737150000.0,216300000.0,
2020,18,2021,1,13,2,46,,,17,6,21,4,323500000.0,737150000.0,
2020,18,2021,1,14,1,15,,,8,14,5,12,556700000.0,207980000.0,
2020,19,2021,1,16,52,48,,,7,21,7,21,422600000.0,118150000.0,
2020,19,2021,1,16,22,9,,,21,15,21,17,195530000.0,252450000.0,
2020,19,2021,1,16,49,10,,,16,9,9,15,262850000.0,152080000.0,
2020,19,2021,1,16,18,13,,,21,4,19,3,216300000.0,823050000.0,
2020,19,2021,1,16,23,41,,,5,11,10,16,480500000.0,240500000.0,
2020,19,2021,1,17,2,17,,,17,12,21,8,323500000.0,507300000.0,
2020,19,2021,1,17,39,46,,,10,6,21,4,172300000.0,737150000.0,
2020,19,2021,1,17,24,27,,,1,3,2,6,1110000000.0,765350000.0,
2020,19,2021,1,17,26,15,,,2,14,1,12,1060000000.0,207980000.0,
2020,19,2021,1,18,1,30,,,8,13,5,14,556700000.0,268050000.0,
2020,19,2021,1,19,49,48,,,16,21,9,21,262850000.0,118150000.0,
2020,19,2021,1,19,23,13,,,5,4,10,3,480500000.0,823050000.0,
2020,19,2021,1,20,26,2,,,2,17,1,21,1060000000.0,323500000.0,
2020,19,2021,1,20,22,41,,,21,11,21,16,195530000.0,240500000.0,
2020,19,2021,1,20,18,27,,,21,3,19,6,216300000.0,765350000.0,
2020,19,2021,1,21,24,10,,,1,9,2,15,1110000000.0,152080000.0,
2020,19,2021,1,23,2,30,,,17,13,21,14,323500000.0,268050000.0,
2020,20,2021,1,26,30,22,,,13,21,14,21,268050000.0,195530000.0,
2020,20,2021,1,26,15,49,,,14,16,12,9,207980000.0,262850000.0,
2020,20,2021,1,26,48,26,,,21,2,21,1,118150000.0,1060000000.0,
2020,20,2021,1,26,41,1,,,11,8,16,5,240500000.0,556700000.0,
2020,20,2021,1,27,10,2,,,9,17,15,21,152080000.0,323500000.0,
2020,20,2021,1,27,13,52,,,4,7,3,7,823050000.0,422600000.0,
2020,20,2021,1,27,9,18,,,15,21,17,19,252450000.0,216300000.0,
2020,20,2021,1,27,17,23,,,12,5,8,10,507300000.0,480500000.0,
2020,20,2021,1,27,27,39,,,3,10,6,21,765350000.0,172300000.0,
2020,20,2021,1,28,46,24,,,6,1,4,2,737150000.0,1110000000.0,
2020,21,2021,1,30,17,30,,,12,13,8,14,507300000.0,268050000.0,
2020,21,2021,1,30,15,52,,,14,7,12,7,207980000.0,422600000.0,
2020,21,2021,1,30,26,39,,,2,10,1,21,1060000000.0,172300000.0,
2020,21,2021,1,30,48,18,,,21,21,21,19,118150000.0,216300000.0,
2020,21,2021,1,30,1,27,,,8,3,5,6,556700000.0,765350000.0,
2020,21,2021,1,30,41,2,,,11,17,16,21,240500000.0,323500000.0,
2020,21,2021,1,31,13,10,,,4,9,3,15,823050000.0,152080000.0,
2020,21,2021,1,31,23,22,,,5,21,10,21,480500000.0,195530000.0,
2020,21,2021,1,31,49,24,,,16,1,9,2,262850000.0,1110000000.0,
2020,21,2021,1,31,9,46,,,15,6,17,4,252450000.0,737150000.0,
2020,22,2021,2,2,39,48,,,10,21,21,21,172300000.0,118150000.0,
2020,22,2021,2,2,52,1,,,7,8,7,5,422600000.0,556700000.0,
2020,22,2021,2,2,27,41,,,3,11,6,16,765350000.0,240500000.0,
2020,22,2021,2,2,30,15,,,13,14,14,12,268050000.0,207980000.0,
2020,22,2021,2,3,10,26,,,9,2,15,1,152080000.0,1060000000.0,
2020,22,2021,2,3,18,23,,,21,5,19,10,216300000.0,480500000.0,
2020,22,2021,2,3,22,17,,,21,12,21,8,195530000.0,507300000.0,
2020,22,2021,2,3,2,49,,,17,16,21,9,323500000.0,262850000.0,
2020,22,2021,2,3,24,9,,,1,15,2,17,1110000000.0,252450000.0,
2020,22,2021,2,4,46,13,,,6,4,4,3,737150000.0,823050000.0,
2020,23,2021,2,6,2,1,,,17,8,21,5,323500000.0,556700000.0,
2020,23,2021,2,6,10,9,,,9,15,15,17,152080000.0,252450000.0,
2020,23,2021,2,6,22,15,,,21,14,21,12,195530000.0,207980000.0,
2020,23,2021,2,6,30,41,,,13,11,14,16,268050000.0,240500000.0,
2020,23,2021,2,6,39,13,,,10,4,21,3,172300000.0,823050000.0,
