club,squad_size,avg_age,num_foreigners,market_value,av_market_value
Chelsea,30,26.3,21,467.50e6,15.58e6
Manchester City,34,24.7,22,461.80e6,13.58e6
Manchester United,41,23.6,23,398.25e6,9.71e6
Tottenham Hotspur,49,24.2,24,316.00e6,6.45e6
Arsenal,44,23.3,33,311.43e6,7.08e6
Liverpool,28,25.0,16,247.75e6,8.85e6
Everton,34,25.6,24,190.18e6,5.59e6
Aston Villa,34,25.3,21,157.60e6,4.64e6
Sunderland,33,25.0,18,125.05e6,3.79e6
Newcastle United,35,24.1,21,120.53e6,3.44e6
Stoke City,31,27.9,15,119.05e6,3.84e6
Fulham,36,26.1,28,118.55e6,3.29e6
Queens Park Rangers,46,27.0,24,106.05e6,2.31e6
Bolton Wanderers,37,25.2,19,98.15e6,2.65e6
Blackburn Rovers,36,24.5,25,90.65e6,2.52e6
Wolverhampton Wanderers,35,24.1,23,82.00e6,2.34e6
West Bromwich Albion,36,25.0,24,81.38e6,2.26e6
Wigan Athletic,29,25.4,22,70.00e6,2.41e6
Swansea City,32,24.8,26,40.55e6,1.27e6
Norwich City,29,24.5,12,22.50e6,776e3
