club,Squad,ø age,Foreigners,Total MV,ø MV
Man City,34,24.1,23,€1.27bn,€37.46m
Liverpool,56,22.3,31,€1.09bn,€19.53m
Spurs,36,23.8,22,€1.04bn,€28.94m
Chelsea,36,23.1,22,€797.00m,€22.14m
Man Utd,43,22.9,24,€775.20m,€18.03m
Arsenal,38,23.3,23,€680.55m,€17.91m
Everton,35,25.0,21,€525.50m,€15.01m
Leicester,32,24.9,18,€384.75m,€12.02m
West Ham,38,25.6,23,€371.75m,€9.78m
Wolves,44,22.1,30,€315.40m,€7.17m
Newcastle,41,25.1,22,€312.58m,€7.62m
Bournemouth,39,23.8,17,€311.20m,€7.98m
Watford,43,24.7,25,€270.65m,€6.29m
Southampton,36,23.4,17,€259.80m,€7.22m
Crystal Palace,33,25.8,18,€248.65m,€7.53m
Brighton,45,23.8,28,€225.83m,€5.02m
Burnley,35,25.3,12,€205.58m,€5.87m
Aston Villa,38,24.7,22,€184.60m,€4.86m
Norwich,38,24.5,25,€110.85m,€2.92m
Sheff Utd,34,26.3,15,€110.80m,€3.26m
