club,squad_size,avg_age,num_foreigners,market_value,av_market_value
Liverpool,29,26.3,21,1.11e9,38.24e6
Manchester City,24,26.9,19,1.06e9,44.01e6
Chelsea,28,26.4,22,823.05e6,29.39e6
Manchester United,30,26.8,19,765.35e6,25.51e6
Tottenham Hotspur,28,27.1,20,737.15e6,26.33e6
Arsenal,27,26.2,19,556.70e6,20.62e6
Everton,28,26.7,19,507.30e6,18.12e6
Leicester City,26,27.2,18,480.50e6,18.48e6
Wolverhampton Wanderers,26,25.5,21,422.60e6,16.25e6
Aston Villa,26,26.7,13,323.50e6,12.44e6
Newcastle United,29,28.0,18,268.05e6,9.24e6
West Ham United,23,28.6,14,262.85e6,11.43e6
Brighton & Hove Albion,29,25.8,19,252.45e6,8.71e6
Southampton,27,25.8,11,240.50e6,8.91e6
Fulham,29,27.4,23,216.30e6,7.46e6
Crystal Palace,28,29.2,15,207.98e6,7.43e6
Leeds United,29,25.9,19,195.53e6,6.74e6
Sheffield United,28,27.2,11,172.30e6,6.15e6
Burnley,26,28.0,10,152.08e6,5.85e6
West Bromwich Albion,29,27.6,13,118.15e6,4.07e6
