club,squad_size,avg_age,num_foreigners,market_value,av_market_value
Manchester City,46,23.3,33,1.05bn,22.92e6
Chelsea,54,24.6,40,1.05bn,19.38e6
Liverpool,39,23.8,25,900.10e6,23.08e6
Manchester United,36,24.4,22,833.00e6,23.14e6
Tottenham Hotspur,34,24.5,20,819.60e6,24.11e6
Arsenal,42,23.9,28,593.30e6,14.13e6
Everton,40,25.0,25,429.50e6,10.74e6
Leicester City,37,25.4,26,329.00e6,8.89e6
West Ham United,37,25.7,22,309.70e6,8.37e6
Southampton,40,23.9,18,270.55e6,6.76e6
Crystal Palace,36,25.4,20,262.38e6,7.29e6
Fulham,33,24.7,25,239.50e6,7.26e6
Newcastle United,37,25.0,22,200.00e6,5.41e6
Burnley,33,27.1,14,185.75e6,5.63e6
Bournemouth,37,24.7,16,172.80e6,4.67e6
Brighton & Hove Albion,41,24.8,29,172.65e6,4.21e6
Watford,39,25.2,31,170.40e6,4.37e6
Wolverhampton Wanderers,40,23.1,26,160.43e6,4.01e6
Huddersfield Town,33,24.3,21,113.15e6,3.43e6
Cardiff City,35,26.3,32,76.00e6,2.17e6
